name,brand,price,old_price
"Casti bluetooth in-ear JBL Wave 100TWS, Bluetooth, True Wireless, Deep Bass, autonomie 20 ore, White",JBL,239.9,
"Casti bluetooth in-ear JBL Wave 100TWS, Bluetooth, True Wireless, Deep Bass, autonomie 20 ore, Negru",JBL,239.9,
"Telefon mobil Allview Luna M20, Dual SIM, Negru",Allview,119.9,
"Smartphone Cubot Note 7, Dual SIM, 16GB, 4G, Negru",Cubot,449.9,
"Casti True wireless Lemontti LEMCTWW, Bluetooth 5.0, Microfon, Noise cancelling, Alb",Logic,69.9,"89,90"
"Casti wireless Platinet PM1040W, bluetooth 5.0, autonomie 4 ore, Alb",PHILIPS,79.9,"89,90"
"Casti in-ear Samsung IC100, Type-C, Alb",Samsung,79.9,
"Casti in-ear Samsung IC100, Type-C, Negru",Samsung,79.9,
"Casti Audio In-Ear Philips, TAE1105WH/00, cu fir, Microfon, Albastru",PHILIPS,44.9,
"Casti Audio In-Ear Philips, TAE1105PK/00, cu fir, Microfon, Roz",PHILIPS,44.9,
"Casti Audio In-Ear Philips, TAE1105BL/00, cu fir, Microfon, Albastru",PHILIPS,44.9,
"Casti Audio In-Ear Philips, TAE1105BK/00, cu fir, Microfon, Negru",PHILIPS,44.9,
"Casti in ear Thompson Picolino, microfon, Albastru",Thompson,14.9,
"Casti in ear JBL 210, microfon, Negru",JBL,79.9,
"Casti in ear JBL 210, microfon, Gri",JBL,79.9,
"Casti Audio Over-Ear Philips, TAH2005BK/00, cu fir, Negru",PHILIPS,109.9,
"Casti bluetooth Philips TAH4205BL/00, Wireless, Albastru",PHILIPS,199.9,
"Casti bluetooth Philips TAH4205BK/00, Wireless, Negru",PHILIPS,199.9,
"Smartwatch Xiaomi Mi Watch LITE, Blue",Xiaomi,279.9,
Bratara fitness Xiaomi Mi Band 6,Xiaomi,199.9,
"Casti audio Poss PSH831BK, over ear, Negru",Poss,29.9,
"Bratara fitness HUAWEI Band 6, Sakura Pink",Huawei,269.9,
"Bratara fitness Huawei Band 6, Graphite Black",Huawei,269.9,
"Smartwatch Huawei Watch Fit Elegant STIA-B29, Frosty White",Huawei,439.9,
"Smartwatch Huawei Watch Fit Elegant STIA-B29, Midnight Black",Huawei,439.9,
"Casti bluetooth Muse M-215 BTB,  autonomie 13 ore, Albastru",Muse,89.9,
"Casti bluetooth Muse M-215 BTP,  autonomie 13 ore, Roz",Muse,89.9,
"Smartwatch Huawei Watch 3 Pro, 48 mm, Titanium, curea Metal",Huawei,2049.9,"2.179,90"
"Smartwatch Huawei Watch 3 Pro, 48 mm, Argintiu, curea Brown Leather",Huawei,1629.9,"1.749,90"
"Smartwatch Huawei Watch 3, 46 mm, Argintiu, curea Brown Leather",Huawei,1449.9,"1.459,90"
"Smartwatch Huawei Watch 3, 46 mm, Negru",Huawei,1449.9,"1.459,90"
"Casti bluetooth Hama Freedom Light, In-Ear, True Wireless, Microfon, Alb",,74.9,"99,90"
"Casti bluetooth Hama Freedom Light, In-Ear, True Wireless, Microfon, Negru",Hama,89.9,
"Casti bluetooth Huawei FreeBuds Pro, In-Ear, Microfon, True wireless, Carcasa Incarcare Wireless, Noise Cancelling, Silver",Huawei,899.9,
